"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Type of user: Client","0","MW Menu: 07_Account","4","0","Sub-menu: 04_Users -> Agents","0"
"0","Type of user: Client","0","MW Menu: 06_Design","2","0","Sub-menu: 02_Website -> 06_Saved Links","0"
"0","Type of user: Client","0","MW Menu: 06_Design","28","3","Sub-menu: 04_Settings -> 01_Global","0"
"0","Signups","0","Type of user: Client","0","7","Complete Signup process","0"
"0","Type of user: Client","0","MW Menu: Design","12","0","Sub-menu: Widgets -> New","0"
"0","Type of user: Client","0","MW Menu: 06_Design","2","2","Sub-menu: 04_Settings -> 02_Locations","0"
"0","Signups","0","Type of user: Client","0","7","Signup fees","0"
"0","Type of user: Client","0","MW Menu: 06_Design","6","0","Sub-menu: 02_Website -> 01_Page Templates","0"
"0","Type of user: Super User","0","MW Menu: 04_MLS","1","0","Sub-menu: 08_Data -> 02_MLS Data Explorer","0"
"0","Type of user: Client","0","MW Menu: 03_Listings","2","0","Sub-menu: 04_Supplemental","0"
"0","Type of user: Client","0","MW Menu: 06_Design","6","0","Sub-menu: 04_Settings -> 03_MLS","0"
"0","Type of user: Super User","0","MW Menu: 03_Agent/Office","4","0","Sub-menu: 01_Agent/Office/Listing Search","0"
"0","Setup tests","0","User Login","1","0","User: ClientEngage_1_Existing","0"
"0","Type of user: Client","0","MW Menu: 07_Account","4","0","Sub-menu: 07_Contacts","0"
"0","Setup tests","0","User Login","1","0","User: Engage_1_New","0"
"0","Setup tests","0","User Login","1","0","User: ClientElite_2_Existing","0"
"0","Type of user: Client","0","MW Menu: 01_Home","2","0","Sub-menu: 03_Access Control","0"
"0","Type of user: Super User","0","MW Menu: Clients","2","0","Sub-menu: Create Client","0"
"0","Front End Pages","0","","3","0","Sub-menu: Website -> Address Search","0"
"0","Setup tests","0","User Login","1","0","User: ClientElite_1_Existing","0"
"0","Front End Pages","0","Disclaimers","1","1","","0"
"0","Type of user: Client","0","MW Menu: 07_Account","2","0","Sub-menu: 02_Upgrade","0"
"0","Type of user: Client","0","MW Menu: 06_Design","1","0","Sub-menu: 01_Branding -> 01_Colors","0"
"0","Type of user: Client","0","MW Menu: 02_Leads","2","0","Sub-menu: 02_Create","0"
"0","Setup tests","0","User Login","1","0","User: ClientEngage_2_Existing","0"
"0","Type of user: Client","0","MW Menu: 06_Design","2","0","Sub-menu: 03_Widgets -> 02_Legacy","0"
"0","Setup tests","0","User Login","1","0","User: ClientCore_1_Existing","0"
"0","Setup tests","0","User Login","1","0","User: SuperUser","0"
"0","Setup tests","0","User creation","1","0","New Client: Engage_1_New","0"
